                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3203,                  1.613,                 1.3031,                0.84924,                0.72556,                0.82144,                0.51719,                 1.3048,                 1.2507,                 1.3577,             0.00047519,             0.00047519,             0.00047519
                      2,                 1.3197,                 1.2191,                 1.3191,                0.86328,                0.76227,                0.84614,                0.53884,                 1.2767,                 1.0876,                 1.3657,             0.00093268,             0.00093268,             0.00093268
                      3,                  1.324,                 1.1419,                 1.3206,                0.86981,                0.73771,                0.82388,                0.52229,                 1.3129,                 1.1168,                 1.3735,              0.0013713,              0.0013713,              0.0013713
                      4,                 1.2952,                 1.0917,                 1.3087,                0.86562,                 0.7541,                  0.833,                0.49762,                 1.4633,                0.99723,                 1.4081,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.2585,                 1.0278,                  1.288,                0.91182,                0.82664,                0.89934,                0.58995,                 1.1899,                0.82938,                  1.259,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.2299,                0.97435,                 1.2664,                 0.8917,                0.82465,                0.89181,                0.61146,                 1.1269,                0.82094,                 1.2201,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.1903,                0.93212,                 1.2481,                0.88866,                0.85063,                0.90315,                0.63238,                 1.0804,                0.76857,                 1.1871,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.1703,                0.90732,                 1.2332,                0.91371,                0.84607,                0.91314,                0.64122,                 1.0809,                0.72482,                 1.1882,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.1435,                0.87528,                 1.2099,                 0.9163,                0.86835,                0.92132,                0.64053,                 1.0687,                0.71586,                 1.1637,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.1395,                0.85665,                 1.2135,                0.91693,                0.86392,                0.92048,                0.64864,                 1.0442,                0.70374,                 1.1547,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.1178,                0.83505,                 1.2022,                0.92244,                0.86574,                0.92752,                0.65627,                  1.029,                0.68043,                 1.1495,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.1051,                0.82482,                 1.1974,                0.92788,                 0.8731,                0.92812,                0.67495,                0.99317,                 0.6559,                 1.1325,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.0849,                0.80034,                 1.1788,                0.93342,                0.86533,                0.92769,                0.67386,                0.99326,                0.64816,                 1.1305,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.0885,                0.79619,                 1.1819,                0.93477,                0.87712,                0.93649,                0.68129,                 0.9705,                0.62143,                 1.1099,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.0712,                0.77833,                 1.1747,                0.92378,                0.88041,                0.93314,                0.68503,                0.95742,                0.62302,                 1.1071,              0.0010612,              0.0010612,              0.0010612
